date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:18:51	2052/2052	---M--	200	added ('OK')	image/png	etag:%2262024bfc-804%22	https://www.tristanparker.co.uk/wp-content/uploads/2022/01/parker-digital-marketing-logo.png	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/wp-content/uploads/2022/01/parker-digital-marketing-logo.png	(from https://www.tristanparker.co.uk/)
06:18:53	29350/29350	---MCZ	200	added ('OK')	text/css	etag:W/%22628fe1c2-72a6%22	https://www.tristanparker.co.uk/wp-content/uploads/elementor/css/custom-pro-widget-nav-menu.min.css?ver=1653596610	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/wp-content/uploads/elementor/css/custom-pro-widget-nav-menu.mind4fe.css	(from https://www.tristanparker.co.uk/)
06:18:54	11359/11359	---MCZ	200	added ('OK')	text/css	etag:W/%22628fe1c2-2c5f%22	https://www.tristanparker.co.uk/wp-content/uploads/elementor/css/custom-pro-widget-call-to-action.min.css?ver=1653596610	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/wp-content/uploads/elementor/css/custom-pro-widget-call-to-action.mind4fe.css	(from https://www.tristanparker.co.uk/)
06:18:54	195116/195116	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2002:18:54%20GMT	https://www.tristanparker.co.uk/services/	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/services/index.html	(from https://www.tristanparker.co.uk/)
06:18:54	298042/298042	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2002:18:54%20GMT	https://www.tristanparker.co.uk/web-design-exeter/	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/web-design-exeter/index.html	(from https://www.tristanparker.co.uk/)
06:18:55	272542/272542	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2002:18:54%20GMT	https://www.tristanparker.co.uk/seo-exeter/	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/seo-exeter/index.html	(from https://www.tristanparker.co.uk/)
06:18:55	31796/31796	---M--	200	added ('OK')	image/jpeg	etag:%22622fb66d-7c34%22	https://www.tristanparker.co.uk/wp-content/uploads/2022/01/15-1024x329.jpeg	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/wp-content/uploads/2022/01/15-1024x329.jpg	(from https://www.tristanparker.co.uk/)
06:18:56	183359/183359	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2002:18:56%20GMT	https://www.tristanparker.co.uk/about-us/	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/about-us/index.html	(from https://www.tristanparker.co.uk/)
06:18:56	192720/192720	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2002:18:56%20GMT	https://www.tristanparker.co.uk/work/	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/work/index.html	(from https://www.tristanparker.co.uk/)
06:18:56	230865/230865	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2002:18:56%20GMT	https://www.tristanparker.co.uk/social-media-management-exeter/	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/social-media-management-exeter/index.html	(from https://www.tristanparker.co.uk/)
06:18:56	199759/199759	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2002:18:56%20GMT	https://www.tristanparker.co.uk/ecommerce-websites-exeter/	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/ecommerce-websites-exeter/index.html	(from https://www.tristanparker.co.uk/)
06:18:57	90284/90284	---M--	200	added ('OK')	image/jpeg	etag:%22622307d9-160ac%22	https://www.tristanparker.co.uk/wp-content/uploads/2022/01/cycling-case-study-scaled-1-1024x683.jpeg	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/wp-content/uploads/2022/01/cycling-case-study-scaled-1-1024x683.jpg	(from https://www.tristanparker.co.uk/)
06:18:58	148768/148768	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2002:18:58%20GMT	https://www.tristanparker.co.uk/case-studies/4761-2/	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/case-studies/4761-2/index.html	(from https://www.tristanparker.co.uk/)
06:18:58	146746/146746	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2002:18:58%20GMT	https://www.tristanparker.co.uk/case-studies/google-ads-generate-over-35000-pm/	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/case-studies/google-ads-generate-over-35000-pm/index.html	(from https://www.tristanparker.co.uk/)
06:18:59	131023/131023	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2002:18:58%20GMT	https://www.tristanparker.co.uk/contact-us-2/	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/contact-us-2/index.html	(from https://www.tristanparker.co.uk/)
06:18:59	151716/151716	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2002:18:58%20GMT	https://www.tristanparker.co.uk/blog/	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/blog/index.html	(from https://www.tristanparker.co.uk/)
06:18:59	61107/61107	---M--	200	added ('OK')	image/jpeg	etag:%22622307e0-eeb3%22	https://www.tristanparker.co.uk/wp-content/uploads/2022/01/facebook-ads-for-clothing-brand-1024x777.jpeg	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/wp-content/uploads/2022/01/facebook-ads-for-clothing-brand-1024x777.jpg	(from https://www.tristanparker.co.uk/)
06:19:00	147594/147594	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2002:19:00%20GMT	https://www.tristanparker.co.uk/case-studies/facebook-ads-for-clothing-brand/	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/case-studies/facebook-ads-for-clothing-brand/index.html	(from https://www.tristanparker.co.uk/)
